Date,Temp,Feels_Like,Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Humidity (%),Solar Radiation (W/m^2)
3/31/2023 13:25,50.5,50.5,25.2,1.3,5.8,12.5,37,807.9
3/31/2023 13:20,48.6,48.6,24.8,1.6,3.4,12.5,39,356.5
3/31/2023 13:15,49.3,48.4,24.8,3.6,9.2,12.5,38,255.6
3/31/2023 13:10,48.4,48.4,25.8,0.2,3.4,12.5,41,230.3
3/31/2023 13:05,48.4,48.4,24.6,1.8,4.5,12.5,39,196.5
3/31/2023 13:00,48.6,48.6,24.8,1.8,3.4,12.5,39,187.3
3/31/2023 12:55,48.2,48.2,23.8,2.5,6.9,12.5,38,220.2
3/31/2023 12:50,47.5,46.5,23.2,3.4,6.9,12.5,38,194.9
3/31/2023 12:45,48,48,24.8,0.5,2.2,12.5,40,213.2
3/31/2023 12:40,49.5,49.5,24.3,1.8,8.1,12.5,37,219.6
3/31/2023 12:35,51.3,51.3,23.9,5.4,9.2,12.5,34,466.1
3/31/2023 12:30,49.5,48.4,23,3.8,6.9,12.5,35,811.1
3/31/2023 12:25,51.6,51.6,25.5,1.6,6.9,12.5,36,325
3/31/2023 12:20,51.6,51.6,24.9,3.1,6.9,12.5,35,682.5
3/31/2023 12:15,52.3,52.3,25.5,1.1,8.1,12.5,35,760
3/31/2023 12:10,52,52,25.2,4,6.9,12.5,35,765.4
3/31/2023 12:05,50.7,50.7,26,2.9,12.5,12.5,38,695.7
3/31/2023 12:00,50.4,50.4,24.5,2.2,5.8,12.5,36,665.6
3/31/2023 11:55,50.5,50.5,25.2,1.8,9.2,12.5,37,678.6
3/31/2023 11:50,50.7,50.7,22.7,3.4,5.8,12.5,33,672.7
3/31/2023 11:45,49.8,48.8,25.2,3.8,5.8,12.5,38,659
3/31/2023 11:40,50.2,50.2,25.6,4.5,8.1,12.5,38,683.9
3/31/2023 11:35,49.6,48.4,24.4,4,6.9,12.5,37,655.5
3/31/2023 11:30,49.1,47.5,24,4.5,6.9,12.5,37,648.6
3/31/2023 11:25,49.6,49.6,25,1.3,4.5,12.5,38,670.5
3/31/2023 11:20,47.8,45.1,23.4,5.8,9.2,12.5,38,701.7
3/31/2023 11:15,48.9,47.9,23.1,3.6,8.1,12.5,36,651.1
3/31/2023 11:10,47.8,47.8,25.8,2.5,5.8,12.5,42,617.7
